qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
13	16S_DB:480	99.485	1359	5	2	1	1359	48	1404	0.0	2475
18	16S_DB:494	99.033	1344	10	3	1	1344	49	1389	0.0	2416
2	16S_DB:549	99.552	1340	5	1	4	1343	81	1419	0.0	2440
27	16S_DB:546	100.000	1342	0	0	1	1342	78	1419	0.0	2479
36	16S_DB:480	99.705	1358	3	1	1	1358	48	1404	0.0	2490
4	16S_DB:600	99.335	1354	4	4	1	1353	79	1428	0.0	2446
48	16S_DB:484	98.375	1354	20	1	2	1355	48	1399	0.0	2390
53	16S_DB:548	99.925	1342	1	0	1	1342	78	1419	0.0	2473
62	16S_DB:496	99.106	1342	8	4	1	1342	85	1422	0.0	2409
7	16S_DB:600	98.736	1345	14	3	1	1343	79	1422	0.0	2386
8	16S_DB:597	99.926	1351	0	1	1	1350	67	1417	0.0	2488
85	16S_DB:594	98.968	1357	10	3	1	1356	34	1387	0.0	2425
95	16S_DB:491	99.702	1344	4	0	1	1344	10	1353	0.0	2464
96	16S_DB:573	99.705	1358	3	1	1	1358	82	1438	0.0	2484
1367SAA005_14Cip-FD1.b1.ab1_638	16S_DB:86	93.218	634	39	4	1	632	37	668	0.0	929
1367SAA005_2NXC111R-FD1.b1.ab1_579	16S_DB:432	97.396	576	14	1	1	576	20	594	0.0	979
1367SAA005_2NXC11R-FD1.b1.ab1_1153	16S_DB:460	96.766	1144	33	4	1	1143	53	1193	0.0	1905
1367SAA005_2NXC14R-FD1.b1.ab1_578	16S_DB:432	97.751	578	12	1	1	578	24	600	0.0	994
1367SAA005_A17Cip-FD1.b1.ab1_171	16S_DB:86	95.930	172	6	1	1	171	35	206	2.51e-76	278
1367SAA005_A17-FD1.b1.ab1_1072	16S_DB:336	97.577	1073	24	2	1	1072	73	1144	0.0	1836
1367SAA005_A1b-FD1.b1.ab1_1010	16S_DB:169	98.811	1009	10	2	3	1010	53	1060	0.0	1796
1367SAA005_A2CbTm-FD1.b1.ab1_908	16S_DB:86	99.008	907	9	0	1	907	42	948	0.0	1626
1367SAA005_A5-FD1.b1.ab1_597	16S_DB:5	97.138	594	13	4	1	593	29	619	0.0	1000
1367SAA005_A6BSm-FD1.b1.ab1_477	16S_DB:86	98.745	478	5	1	1	477	37	514	0.0	848
1367SAA005_A7-FD1.b1.ab1_763	16S_DB:354	98.949	761	8	0	3	763	54	814	0.0	1362
1367SAA005_A7Sm-FD1.b1.ab1_896	16S_DB:136	96.763	865	27	1	1	865	26	889	0.0	1441
1367SAA005_A9Cip-FD1.b1.ab1_579	16S_DB:86	99.481	578	3	0	1	578	38	615	0.0	1051
1367SAA005_ACOP7-FD1.b1.ab1_1110	16S_DB:433	97.212	1112	23	6	1	1110	15	1120	0.0	1875
1367SAA005_AYOT11_bis-FD1.b1.ab1_1118	16S_DB:443	98.749	1119	12	2	1	1118	52	1169	0.0	1988
1367SAA005_AYOT11-FD1.b1.ab1_1069	16S_DB:443	99.147	1055	8	1	3	1057	51	1104	0.0	1897
1367SAA005_CP6-FD1.b1.ab1_1117	16S_DB:450	98.743	1114	10	4	2	1114	33	1143	0.0	1977
1367SAA005_CP7_bis-FD1.b1.ab1_819	16S_DB:456	98.862	791	8	1	1	790	45	835	0.0	1410
1367SAA005_CP7-FD1.b1.ab1_1035	16S_DB:453	98.551	1035	9	6	1	1029	55	1089	0.0	1825
1367SAA005_NXC126R-FD1.b1.ab1_1017	16S_DB:455	98.527	1018	13	2	2	1017	15	1032	0.0	1796
1367SAA005_PROO4-FD1.b1.ab1_539	16S_DB:432	97.407	540	5	9	1	539	12	543	0.0	911
1367SAA005_S11Sm-FD1.b1.ab1_1049	16S_DB:184	98.763	1051	10	3	1	1049	45	1094	0.0	1866
1367SAA005_S12-FD1.b1.ab1_899	16S_DB:25	98.210	894	13	3	1	892	52	944	0.0	1559
1367SAA005_S13-FD1.b1.ab1_121	16S_DB:534	88.333	120	11	3	3	121	64	181	2.33e-35	141
1367SAA005_S15-FD1.b1.ab1_1111	16S_DB:25	98.115	1114	16	5	1	1111	52	1163	0.0	1936
1367SAA005_S1CbTm-FD1.b1.ab1_683	16S_DB:184	99.227	647	4	1	3	648	40	686	0.0	1166
1367SAA005_S1-FD1.b1.ab1_542	16S_DB:169	99.815	542	1	0	1	542	50	591	0.0	996
1367SAA005_S2CbTm-FD1.b1.ab1_84	16S_DB:269	97.647	85	1	1	1	84	47	131	1.15e-36	145
1367SAA005_S4CbTm-FD1.b1.ab1_172	16S_DB:269	100.000	172	0	0	1	172	52	223	1.49e-88	318
1367SAA005_S6Sm-FD1.b1.ab1_347	16S_DB:184	99.143	350	0	3	1	347	40	389	0.0	627
1367SAA005_S7CbTm-FD1.b1.ab1_961	16S_DB:76	98.954	956	9	1	1	955	37	992	0.0	1709
1367SAA005_S9b-FD1.b1.ab1_142	16S_DB:3	97.887	142	3	0	1	142	40	181	1.60e-67	248
1367SAA005_S9-FD1.b1.ab1_1091	16S_DB:3	99.451	1092	4	2	1	1090	39	1130	0.0	1984
1367SAA005_Tm203-FD1.b1.ab1_491	16S_DB:128	97.942	486	9	1	3	487	52	537	0.0	841
1367SAA005_VNC15-FD1.b1.ab1_1062	16S_DB:434	99.052	1055	6	4	1	1052	20	1073	0.0	1890
1367SAA005_VNP1-FD1.b1.ab1_578	16S_DB:435	94.965	576	28	1	3	578	31	605	0.0	902
1367SAA005_VRP15_bis-FD1.b1.ab1_1124	16S_DB:449	99.822	1125	1	1	1	1124	34	1158	0.0	2065
1367SAA005_VRP15-FD1.b1.ab1_1112	16S_DB:449	99.012	1113	9	2	1	1112	30	1141	0.0	1993
